x,y
31.104,104.544
76.032,107.136
62.208,109.728
34.56,155.52
31.104,103.68
67.392,85.536
41.472,62.208
91.584,114.048
83.808,119.232
102.816,106.272
104.544,82.944
71.712,138.24
73.44,158.112
76.032,80.352
88.992,103.68
52.704,151.2
35.424,110.592
88.992,86.4
33.696,104.544
26.784,64.8
44.064,95.904
51.84,127.008
33.696,146.88
47.52,149.472
69.12,171.072
63.072,64.8
30.24,108.0
63.936,147.744
46.656,106.272
43.2,129.6
37.152,85.536
42.336,148.608
72.576,105.408
70.848,98.496
127.872,112.32
82.944,113.184
88.128,133.056
41.472,78.624
38.88,114.912
59.616,120.96
93.312,101.952
57.024,110.592
99.36,125.28
82.08,104.544
32.832,157.248
67.392,86.4
82.08,112.32
39.744,65.664
69.984,63.936
58.752,126.144
44.928,108.864
31.104,140.832
88.128,157.248
63.072,128.736
79.488,179.712
68.256,154.656
45.792,156.384
43.2,113.184
54.432,125.28
67.392,152.064
58.752,105.408
74.304,78.624
82.944,42.336
56.16,170.208
41.472,170.208
38.88,105.408
88.992,149.472
56.16,126.144
66.528,127.008
44.928,107.136
34.56,151.2
51.84,149.472
76.896,146.016
61.344,107.136
74.304,126.144
66.528,73.44
76.896,81.216
31.968,42.336
60.48,114.048
79.488,108.864
31.104,83.808
69.12,79.488
90.72,129.6
66.528,144.288
27.648,121.824
82.08,113.184
60.48,145.152
40.608,127.872
88.992,161.568
44.064,146.016
63.072,61.344
33.696,105.408
31.104,40.608
50.112,84.672
39.744,40.608
209.088,39.744
118.368,104.544
263.52,82.944
59.616,106.272
52.704,151.2
44.928,130.464
75.168,127.008
40.608,105.408
30.24,146.88
31.968,85.536
26.784,140.832
42.336,108.0
38.88,102.816
57.888,76.896
36.288,133.056
42.336,105.408
61.344,127.008
40.608,104.544
83.808,85.536
47.52,118.368
88.128,177.984
42.336,114.912
53.568,107.136
54.432,63.072
65.664,107.136
68.256,123.552
50.112,145.152
40.608,82.08
64.8,137.376
73.44,177.984
87.264,84.672
28.512,85.536
60.48,149.472
44.064,126.144
70.848,126.144
59.616,106.272
68.256,107.136
36.288,63.936
34.56,146.88
54.432,103.68
47.52,103.68
31.104,106.272
80.352,129.6
61.344,186.624
84.672,147.744
41.472,169.344
33.696,105.408
35.424,84.672
88.128,103.68
37.152,127.008
75.168,126.144
70.848,65.664
27.648,87.264
37.152,124.416
62.208,106.272
63.936,123.552
38.016,119.232
37.152,103.68
