course_id;sched_1_355;sched_2_1035;sched_3_418;sched_4_2543;stop_1_355;stop_2_1035;stop_3_418;stop_4_2543;stay_1_355;stay_2_1035;stay_3_418;stay_4_2543;daily_course;weekly_course;delta1;delta2;delta3;date
1143527;2020-01-15-05-30;2020-01-15-05-31;2020-01-15-05-33;2020-01-15-05-35;2020-01-15-05-30;2020-01-15-05-31;2020-01-15-05-32;2020-01-15-05-35;0;0;0;1;1;70;0.00069;0.00088;0.00216;15.01.2020
1143529;2020-01-15-06-42;2020-01-15-06-43;2020-01-15-06-45;2020-01-15-06-47;2020-01-15-06-42;2020-01-15-06-43;2020-01-15-06-44;2020-01-15-06-48;1;0.5;1;0;2;71;0.000125556;0.000492778;0.001895556;15.01.2020
1143531;2020-01-15-07-44;2020-01-15-07-46;2020-01-15-07-48;2020-01-15-07-51;2020-01-15-07-54;2020-01-15-07-56;2020-01-15-07-57;2020-01-15-08-00;1;0;0;1;3;72;0.000555556;0.00082;0.00195;15.01.2020
1143533;2020-01-15-08-58;2020-01-15-09-00;2020-01-15-09-02;2020-01-15-09-05;2020-01-15-09-05;2020-01-15-09-07;2020-01-15-09-09;2020-01-15-09-12;2;0.5;0;1;4;73;0.000181111;0.000592778;0.0022;15.01.2020
1143535;2020-01-15-10-28;2020-01-15-10-30;2020-01-15-10-32;2020-01-15-10-35;2020-01-15-10-28;2020-01-15-10-30;2020-01-15-10-32;2020-01-15-10-34;1;1;0;0.5;5;74;0.000805556;0.000395556;0.00166;15.01.2020
1143537;2020-01-15-11-39;2020-01-15-11-41;2020-01-15-11-43;2020-01-15-11-46;2020-01-15-11-40;2020-01-15-11-42;2020-01-15-11-43;2020-01-15-11-46;0.5;1;1;1;6;75;0.000962778;0.000625556;0.000795556;15.01.2020
1143539;2020-01-15-12-50;2020-01-15-12-52;2020-01-15-12-54;2020-01-15-12-57;2020-01-15-12-52;2020-01-15-12-54;2020-01-15-12-57;2020-01-15-13-00;1;0.5;1;0.5;7;76;0.000945556;0.001482778;0.001375556;15.01.2020
1143541;2020-01-15-14-01;2020-01-15-14-03;2020-01-15-14-05;2020-01-15-14-08;2020-01-15-14-02;2020-01-15-14-04;2020-01-15-14-06;2020-01-15-14-08;2;1;0.5;0.5;8;77;0.000421111;9.55556E-05;0.001612778;15.01.2020
1143543;2020-01-15-15-12;2020-01-15-15-14;2020-01-15-15-16;2020-01-15-15-19;2020-01-15-15-12;2020-01-15-15-14;2020-01-15-15-16;2020-01-15-15-19;1;1;1;1;9;78;0.000805556;0.000585556;0.001375556;15.01.2020
1143545;2020-01-15-16-29;2020-01-15-16-31;2020-01-15-16-33;2020-01-15-16-36;2020-01-15-16-29;2020-01-15-16-33;2020-01-15-16-34;2020-01-15-16-37;2;1;0;1;10;79;0.000911111;0.000525556;0.00184;15.01.2020
1143547;2020-01-15-17-41;2020-01-15-17-43;2020-01-15-17-45;2020-01-15-17-48;2020-01-15-17-47;2020-01-15-17-49;2020-01-15-17-51;2020-01-15-17-56;1;0;2;1;11;80;0.000715556;0.00131;0.002201111;15.01.2020
1143549;2020-01-15-18-52;2020-01-15-18-54;2020-01-15-18-56;2020-01-15-18-59;2020-01-15-19-14;2020-01-15-19-17;2020-01-15-19-18;2020-01-15-19-21;2;1;1;1;12;81;0.000331111;0.000365556;0.001555556;15.01.2020
1143551;2020-01-15-19-59;2020-01-15-20-00;2020-01-15-20-02;2020-01-15-20-04;2020-01-15-20-35;2020-01-15-20-40;2020-01-15-20-41;2020-01-15-20-43;4;0.5;0;0.5;13;82;0.000402222;0.000642778;0.00158;15.01.2020
1143527;2020-01-16-05-30;2020-01-16-05-31;2020-01-16-05-33;2020-01-16-05-35;2020-01-16-05-30;2020-01-16-05-31;2020-01-16-05-33;2020-01-16-05-36;0.5;0.5;1;0.5;1;83;0.000362778;0.000862778;0.001055556;16.01.2020
1143529;2020-01-16-06-42;2020-01-16-06-43;2020-01-16-06-45;2020-01-16-06-47;2020-01-16-06-44;2020-01-16-06-45;2020-01-16-06-47;2020-01-16-06-50;0.5;0.5;0.5;0.5;2;84;0.000882778;0.000402778;0.001862778;16.01.2020
1143531;2020-01-16-07-44;2020-01-16-07-46;2020-01-16-07-48;2020-01-16-07-51;2020-01-16-07-51;2020-01-16-07-53;2020-01-16-07-55;2020-01-16-07-58;1;1;0.5;1;3;85;0.000765556;0.000785556;0.001612778;16.01.2020
1143533;2020-01-16-08-58;2020-01-16-09-00;2020-01-16-09-02;2020-01-16-09-05;2020-01-16-09-02;2020-01-16-09-05;2020-01-16-09-06;2020-01-16-09-08;2;0;0;1;4;86;0.000291111;0.00076;0.00173;16.01.2020
1143535;2020-01-16-10-28;2020-01-16-10-30;2020-01-16-10-32;2020-01-16-10-35;2020-01-16-10-29;2020-01-16-10-31;2020-01-16-10-32;2020-01-16-10-36;1.5;0.5;0.5;1;5;87;0.000458333;0.000652778;0.001842778;16.01.2020
1143537;2020-01-16-11-39;2020-01-16-11-41;2020-01-16-11-43;2020-01-16-11-46;2020-01-16-11-40;2020-01-16-11-43;2020-01-16-11-44;2020-01-16-11-48;1;0;1;0.5;6;88;0.000975556;0.00122;0.001725556;16.01.2020
1143539;2020-01-16-12-50;2020-01-16-12-52;2020-01-16-12-54;2020-01-16-12-57;2020-01-16-12-52;2020-01-16-12-53;2020-01-16-12-55;2020-01-16-12-58;0.5;0;2;1;7;89;0.000632778;0.00097;0.000831111;16.01.2020
1143541;2020-01-16-14-01;2020-01-16-14-03;2020-01-16-14-05;2020-01-16-14-08;2020-01-16-14-04;2020-01-16-14-06;2020-01-16-14-08;2020-01-16-14-12;1;0.5;1;0.5;8;90;0.000755556;0.000892778;0.001995556;16.01.2020
1143543;2020-01-16-15-12;2020-01-16-15-14;2020-01-16-15-16;2020-01-16-15-19;2020-01-16-15-11;2020-01-16-15-13;2020-01-16-15-15;2020-01-16-15-18;1;1;2;1;9;91;0.000765556;0.000555556;0.000721111;16.01.2020
1143545;2020-01-16-16-29;2020-01-16-16-31;2020-01-16-16-33;2020-01-16-16-36;2020-01-16-16-30;2020-01-16-16-31;2020-01-16-16-33;2020-01-16-16-35;1;0;0.5;1;10;92;0.000545556;0.00098;0.001352778;16.01.2020
1143547;2020-01-16-17-41;2020-01-16-17-43;2020-01-16-17-45;2020-01-16-17-48;2020-01-16-17-43;2020-01-16-17-45;2020-01-16-17-47;2020-01-16-17-52;1;0;1;0.5;11;93;0.000765556;0.00124;0.002735556;16.01.2020
1143549;2020-01-16-18-52;2020-01-16-18-54;2020-01-16-18-56;2020-01-16-18-59;2020-01-16-19-01;2020-01-16-19-04;2020-01-16-19-05;2020-01-16-19-07;1.5;0.5;1;1;12;94;0.000678333;0.000632778;0.001035556;16.01.2020
1143551;2020-01-16-19-59;2020-01-16-20-00;2020-01-16-20-02;2020-01-16-20-04;2020-01-16-20-13;2020-01-16-20-14;2020-01-16-20-15;2020-01-16-20-19;0.5;0.5;0;0.5;13;95;0.000382778;0.000632778;0.00293;16.01.2020
1143553;2020-01-16-21-10;2020-01-16-21-11;2020-01-16-21-13;2020-01-16-21-15;2020-01-16-21-09;2020-01-16-21-11;2020-01-16-21-12;2020-01-16-21-15;1.5;0;0.5;1;14;96;0.000248333;0.00071;0.001842778;16.01.2020
1143527;2020-01-17-05-30;2020-01-17-05-31;2020-01-17-05-33;2020-01-17-05-35;2020-01-17-05-30;2020-01-17-05-31;2020-01-17-05-32;2020-01-17-05-36;0;0;1;1;1;1;0.00075;0.00074;0.001515556;17.01.2020
1143529;2020-01-17-06-42;2020-01-17-06-43;2020-01-17-06-45;2020-01-17-06-47;2020-01-17-06-42;2020-01-17-06-45;2020-01-17-06-46;2020-01-17-06-50;1.5;0.5;0.5;0;2;2;0.000918333;0.000372778;0.002092778;17.01.2020
1143531;2020-01-17-07-44;2020-01-17-07-46;2020-01-17-07-48;2020-01-17-07-51;2020-01-17-07-53;2020-01-17-07-55;2020-01-17-07-57;2020-01-17-08-00;2;0.5;0;1;3;3;0.000351111;0.000622778;0.00219;17.01.2020
1143533;2020-01-17-08-58;2020-01-17-09-00;2020-01-17-09-02;2020-01-17-09-05;2020-01-17-09-07;2020-01-17-09-09;2020-01-17-09-10;2020-01-17-09-14;1;0;2;1;4;4;0.000525556;0.00072;0.001551111;17.01.2020
1143535;2020-01-17-10-28;2020-01-17-10-30;2020-01-17-10-32;2020-01-17-10-35;2020-01-17-10-28;2020-01-17-10-30;2020-01-17-10-31;2020-01-17-10-34;1;0.5;1;0.5;5;5;0.000765556;0.000622778;0.001545556;17.01.2020
