course_id,sched_1_355,sched_2_1035,sched_3_418,sched_4_2543,stop_1_355,stop_2_1035,stop_3_418,stop_4_2543,stay_1_355,stay_2_1035,stay_3_418,stay_4_2543,daily_course,weekly_course
1143545,2020-01-17-16-29,2020-01-17-16-31,2020-01-17-16-33,2020-01-17-16-36,2020-01-17-16-29,2020-01-17-16-30,2020-01-17-16-32,2020-01-17-16-35,0,0.5,0.5,1,10,10
1143547,2020-01-17-17-41,2020-01-17-17-43,2020-01-17-17-45,2020-01-17-17-48,2020-01-17-17-43,2020-01-17-17-45,2020-01-17-17-47,2020-01-17-17-50,1,1,1,1,11,11
1143549,2020-01-17-18-52,2020-01-17-18-54,2020-01-17-18-56,2020-01-17-18-59,2020-01-17-19-00,2020-01-17-19-02,2020-01-17-19-03,2020-01-17-19-07,0,0,2,0.5,12,12
1143551,2020-01-17-19-59,2020-01-17-20-00,2020-01-17-20-02,2020-01-17-20-04,2020-01-17-20-09,2020-01-17-20-10,2020-01-17-20-11,2020-01-17-20-14,1,0,0.5,1,13,13
1143553,2020-01-17-21-10,2020-01-17-21-11,2020-01-17-21-13,2020-01-17-21-15,2020-01-17-21-10,2020-01-17-21-12,2020-01-17-21-13,2020-01-17-21-15,0.5,0,0.5,1,14,14
1143800,2020-01-18-05-29,2020-01-18-05-30,2020-01-18-05-31,2020-01-18-05-33,2020-01-18-05-29,2020-01-18-05-30,2020-01-18-05-31,2020-01-18-05-34,0,0,0,0,1,15
1143802,2020-01-18-06-29,2020-01-18-06-30,2020-01-18-06-31,2020-01-18-06-33,2020-01-18-06-29,2020-01-18-06-30,2020-01-18-06-31,2020-01-18-06-33,0,0,1,1,2,16
1143804,2020-01-18-07-39,2020-01-18-07-41,2020-01-18-07-42,2020-01-18-07-44,2020-01-18-07-40,2020-01-18-07-40,2020-01-18-07-41,2020-01-18-07-44,0,0,0.5,0.5,3,17
1143806,2020-01-18-08-42,2020-01-18-08-44,2020-01-18-08-45,2020-01-18-08-47,2020-01-18-08-41,2020-01-18-08-42,2020-01-18-08-43,2020-01-18-08-46,0,0,0,1,4,18
1143808,2020-01-18-09-56,2020-01-18-09-58,2020-01-18-09-59,2020-01-18-10-01,2020-01-18-09-56,2020-01-18-09-57,2020-01-18-09-58,2020-01-18-10-02,0,0,0.5,1,5,19
1143810,2020-01-18-11-03,2020-01-18-11-05,2020-01-18-11-06,2020-01-18-11-08,2020-01-18-11-02,2020-01-18-11-03,2020-01-18-11-04,2020-01-18-11-08,1,0,0.5,1,6,20
1143812,2020-01-18-12-06,2020-01-18-12-08,2020-01-18-12-09,2020-01-18-12-11,2020-01-18-12-06,2020-01-18-12-09,2020-01-18-12-10,2020-01-18-12-14,2,0.5,1,0.5,7,21
1143814,2020-01-18-13-09,2020-01-18-13-11,2020-01-18-13-12,2020-01-18-13-14,2020-01-18-13-11,2020-01-18-13-12,2020-01-18-13-13,2020-01-18-13-16,1,0,1,1,8,22
